gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig
COL3A1,1.45801204,0.00078,-1.2277397,0.03495,-1.61665883,8.19e-25,-0.81357764,1.33e-07,False,,1.5780112,0.00236,True,True,-1.11,8.33e-13,True,True,-2.03371458,0.000146,True,True,-0.22449897,0.9997,True,False,4,3
COL15A1,2.19890718,6.62e-07,-0.60382602,0.0071231,-1.3335039,6.28e-29,-1.08431296,2.69e-24,False,,0.4035553,0.261,True,False,-1.06,0.0024,True,True,-2.50898132,3.59e-05,True,True,-0.45565111,0.9997,True,False,4,2
AEBP1,1.67758834,0.000102,-1.07007992,0.0062103,-0.7989775,0.000162,-0.73168653,2.51e-07,False,,0.9983504,0.0465,True,True,-1.57,2.18e-09,True,True,-0.69105443,0.138,True,False,-0.33336303,0.9997,True,False,4,2
COL1A1,1.75677827,1.68e-05,-1.2970953,0.03495,-1.77332415,8.23e-27,-1.39555934,1.02e-11,False,,0.6781739,0.242,True,False,-2.25,1.15e-16,True,True,-2.97815507,9.09e-05,True,True,-0.60954833,0.9997,True,False,4,2
COL1A2,2.65687138,1.2e-05,-1.1873626,0.00933,-1.05881,0.00561,-0.92280591,8.31e-09,False,,0.6281435,0.238,True,False,-1.3,6.17e-11,True,True,-2.07443711,9.32e-05,True,True,-0.58273053,0.9997,True,False,4,2
INMT,1.55,0.000723,-0.92946818,0.034647,1.4261375,1.43e-06,-0.88509554,7.2e-16,False,,1.3046187,0.0354,True,True,-1.1,3.1e-07,True,True,0.9717123,0.0502,True,False,-0.90061367,0.2093,True,False,4,2
LYZ,2.79007982,2.16e-06,-0.6877495,0.0259385,0.6459636,0.000109,-0.98360315,1.28e-09,False,,2.4693027,0.0179,True,True,-1.58,5.33e-13,True,True,0.28046044,0.787,True,False,-0.37295683,0.9997,True,False,4,2
VWF,0.6088809,0.000127,-1.08837672,0.044949,0.80510831,2.46e-17,-0.97442246,2.94e-25,False,,0.4639446,0.599,True,False,-1.6,3.64e-08,True,True,0.72140694,0.00716,True,True,-0.45297386,0.9997,True,False,4,2
SERPINE2,1.0038187,0.000792,-0.66736081,0.0425783,-1.3449823,2.74e-08,-1.9706074,1.45e-32,False,,0.6324469,0.126,True,False,-0.581,3.78e-05,True,True,-1.00937433,0.00904,True,True,-0.54628758,0.9997,True,False,4,2
CCL19,1.6645841,0.00232,-1.47993455,0.0186169,-3.520365,1.89e-13,-1.50947281,1.74e-19,False,,1.5382663,0.161,True,False,-1.46,2.56e-05,True,True,-1.22533087,0.119,True,False,-0.19554547,0.9997,True,False,4,1
CFB,1.2222763,0.000486,1.6607728,0.03048,-1.7995491,6.15e-10,-0.62863209,3.86e-10,False,,1.048111,0.0826,True,False,0.14,0.21,True,False,-1.14261177,0.0459,True,True,-0.21089461,0.9997,True,False,4,1
CPE,1.21484343,5.71e-05,-0.73739111,0.0014804,-0.72755826,3.39e-10,-0.7246665,0.000152,False,,0.5877473,0.523,True,False,-0.422,0.0776,True,False,-1.05112867,0.000965,True,True,-0.28667753,0.9997,True,False,4,1
HDAC7,1.06,0.00142,-1.2680699,0.04609,0.8662077,2.03e-16,-0.6370295,0.00232,False,,0.3061373,0.485,True,False,-0.728,3.18e-07,True,True,0.05139399,0.735,True,False,-0.12372678,0.9997,True,False,4,1
MME,-0.9866764,0.00189,1.2883051,0.00933,1.04253776,1.34e-13,-1.503449,8.53e-28,False,,-0.7528621,0.405,True,False,0.58,0.000342,True,True,0.91389189,0.212,True,False,-0.55076731,0.9997,True,False,4,1
TSPAN8,1.2662383,0.00199,-1.58159211,0.0015202,-0.68302285,4.98e-05,0.68722888,1.78e-05,False,,0.5906058,0.475,True,False,-0.222,0.476,True,False,-1.34428258,0.0152,True,True,0.07709342,0.9997,True,False,4,1
